qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_{playername}^^_I_ve_|{playername},^^ J'ai reçu une lettre de {s9} qui décrit vos entourloupettes disgracieuses. Dans les circonstances actuelles, {s9} ne peut pas en fournir la preuve. Mais contrairement à vous, c'est un membre distingué de ma famille, et depuis toutes ces années je n'ai jamais eu aucune raison de m'en méfier. Je crois à ces accusations. ^J'espère que vous avez échoué dans votre intention de casser l'unité de la famille. Par la présente, je mets fin à votre engagement, vous n'êtes plus {lié/liée} à ma maison. ^J'ai honte de la façon dont vous me trompez malicieusement, je ne vais pas vous mettre au défi, pour ne pas rendre des comptes à mon monarque, si je vous tue. Cependant, chaque rat doit être écrasé, un jour je le ferai si je vous retrouve sur mon chemin ! ^^{s10}
qstr_{s4}_and_it_is_the_c|{s4} and it is the capital of your kingdom{***};;;;
qstr_The_young_noble_pref|The young noble preferred to flee rather than duel with you!{***};;;;
qstr_You_don_t_have_enough_g|You don't have enough gold. Things aren't going well!{***};;;;
qstr_of_a_fulminating_dis|of a fulminating disease{***};;;;
qstr_in_a_hunting_acciden|in a hunting accident{***};;;;
qstr_of_the_pox|of the pox{***};;;;
qstr_of_an_indigestion|of an indigestion{***};;;;
qstr_The_hare_runs_off_un|The hare runs off unscathed.{***};;;;
qstr_You_have_caught_a_wi|You have caught a wild hare.{***};;;;
qstr_You_have_left_behind|You have left behind a good meal.{***};;;;
qstr_The_peasant_decides_|The peasant decides to join your company.{***};;;;
qstr_The_young_nobles_joi|The young nobles join your party.{***};;;;
qstr_The_camp_followers_j|The camp followers join your party.{***};;;;
qstr_The_bards_join_your_|The bards join your party.{***};;;;
qstr_compensation_was_pai|compensation was paid. Everyone received what they deserved.{***};;;;
qstr_Compensation_was_pai|Compensation was paid. Everyone received what they deserved.{***};;;;
qstr_The_Nights_Watchmen_|The Nights Watchmen join your party.{***};;;;
qstr_You_send_a_raven_to_|You send a raven to call for assistance to march them back to the wall.{***};;;;
qstr_The_farmer_takes_con|The farmer takes consolation in your decision.{***};;;;
qstr_The_farmers_not_part|The farmers not particularly happy but agrees you have done all you can on the matter.{***};;;;
qstr_The_farmer_takes_ins|The farmer takes insult to your decision and promptly spreads the word of your misdeeds.{***};;;;
qstr_The_mushrooms_were_r|The mushrooms were really tasty!{***};;;;
qstr_Your_men_enjoy_eatin|Your men enjoy eating the mushrooms while resting at camp.{***};;;;
qstr_The_mushrooms_were_re|The mushrooms were really tasteless. You have diarrhoea. Your health has decreased.{***};;;;
qstr_Your_men_are_eating_|Your men are eating mushrooms while resting at camp. Some of them have diarrhoea and don't feel too good.{***};;;;
qstr_The_mushrooms_were_t|The mushrooms were tasteless. You have diarrhoea and fall ill. Your health decreases{***};;;;
qstr_The_Septons_wife_sho|The Septons wife shows you things you have never seen before. You leave before her husband returns.{***};;;;
qstr_You_leave_with_your_|You leave with your honour intact.{***};;;;
qstr_The_bandits_run_away|The bandits run away.{***};;;;
qstr_You_kill_all_the_Sep|You kill all the Septons! The faith of the Seven will not be happy about this.{***};;;;
qstr_You_later_receive_a_|You later receive a raven from a maester of the Nights Watch expressing his gratitude.{***};;;;
qstr_The_merchant_thanks_|The merchant thanks you and hands you some coin.{***};;;;
qstr_Although_you_gained_|Although you gained some coin, your reputation has been tainted.{***};;;;
qstr_The_freeriders_join_|The freeriders join your party.{***};;;;
qstr_The_man_s_eyes_look_|The man's eyes look sad as you walk away.{***};;;;
qstr_Putting_a_smile_on_t|Putting a smile on this poor man's face makes you feel good.{***};;;;
qstr_The_man_joins_your_r|The man joins your ranks.{***};;;;
qstr_The_child_s_eyes_sad|The child's eyes sadly watch you while you follow your path.{***};;;;
qstr_The_Ironmen_join_you|The Ironmen join your party.{***};;;;
qstr_The_Ironmen_carry_on|The Ironmen carry on their path.{***};;;;
qstr_After_a_few_hours_th|After a few hours the Ironmen return with some loot and the chiefs head.{***};;;;
qstr_Your_troops_show_no_|Your troops show no remorse as they slay all the Ironmen.{***};;;;
qstr_The_Begging_Brother_|The Begging Brother spreads word of your good nature.{***};;;;
qstr_The_begging_brother_|The begging brother joins you.{***};;;;
qstr_You_leave_his_headle|You leave his headless body slumped by the roadside. The high Septon will hear of this news.{***};;;;
qstr_The_dog_runs_off.|The dog runs off.{***};;;;
qstr_Your_men_capture_the|Your men capture the dog and slaughter it for food.{***};;;;
qstr_The_dog_follows_on_b|The dog follows on behind.{***};;;;
qstr_They_thank_you_and_y|They thank you and you continue on your way .{***};;;;
qstr_The_people_cannot_re|The people cannot resist and you take possession of any coin they have.{***};;;;
qstr_The_screams_make_you|The screams make your hairs stand on end.{***};;;;
qstr_The_Red_Priests_bles|The Red Priests bless you and you continue on your way.{***};;;;
qstr_The_man_is_already_d|The man is already dead. The smell of burnt flesh taints the air.{***};;;;
qstr_The_Septons_bless_you|The Septons bless you and you continue your way.{***};;;;
qstr_Your_warriors_plunde|Your warriors plunder the Septry killing all enemies and any Septons brave enough to stand in the way.{***};;;;
qstr_Among_the_remains_of|Among the remains of the corpse are the sword and some armour. Now they are yours if you do not mind the bad luck that belonged to a dead.{***};;;;
qstr_Someday_perhaps_you_|Someday, perhaps, you might have the honour of being buried like a king.{***};;;;
qstr_The_monks_words_will|The monks words will add fame to your name.{***};;;;
qstr_The_scholar_spreads_|The scholar spreads word of your hostile nature.{***};;;;
qstr_You_care_little_for_|You care little for some useless tunic but prefer the company of a pretty young woman.{***};;;;
qstr_The_village_is_dis_p|The village is dis-pleased and slowly word spreads of your hostile nature.{***};;;;
qstr_The_village_is_pleas|The village is pleased and slowly word spreads of your good deeds.{***};;;;
qstr_Though_not_honourabl|Though not honourable, you decide its best not to have your men laughing at your expense.{***};;;;
qstr_With_your_honour_int|With your honour intact and your men joyful, morale strengthens within your party.{***};;;;
qstr_You_nod_to_your_body|You nod to your bodyguards and they wrestle the lieutenant to the ground then loft off his head.{***};;;;
qstr_These_animals_are_re|These animals are really important to the villager's survival.{***};;;;
qstr_You_did_return_the_a|You did return the animals after all.{***};;;;
qstr_Though_not_honourable|Though not honourable, your men are happy to have a good meal.{***};;;;
qstr_With_the_blood_from_|With the blood from your sword dripping to your elbow, you will welcome the easy victory.{***};;;;
qstr_They_pay_and_go_on_t|They pay and go on there way poorer than before.{***};;;;
qstr_Harassing_helpless_p|Harassing helpless peasants is certainly not honourable.{***};;;;
qstr_They_depart_praising|They depart praising your name.{***};;;;
qstr_It_turns_out_the_fam|It turns out the family's related to the Lannisters. They surely will not be pleased.{***};;;;
qstr_You_carry_on_your_pa|You carry on your path passing a young boy having the blood drained from his throat.{***};;;;
qstr_The_family_are_thank|The family are thankful and give you their last cerfs d'argent. As they depart they tell you a Lannister always pays his debts.{***};;;;
qstr_They_depart_praising_|They depart praising your name. They refuse the gold and instead cite that the Lannisters always pay their debts.{***};;;;
qstr_You_welcome_the_easy|You welcome the easy victory. You never liked Qohorik's anyway.{***};;;;
qstr_They_pay_and_go_on_th|They pay and go on their way poorer than before.{***};;;;
qstr_The_situation_escala|The situation escalates and your honour suffers{***};;;;
qstr_Though_honourable_yo|Though honourable, your soldiers are not happy.{***};;;;
qstr_The_girl_is_pregnant|The girl is pregnant and the elder asks for a high compensation. To avoid rumours and problems you pay the man his gold.{***};;;;
qstr_Though_not_honourable_|Though not honourable, you do gain some meagre belongings.{***};;;;
qstr_Thankful_the_family_|Thankful, the family express to others your kindness.{***};;;;
qstr_The_Lord_of_Light_is|The Lord of Light is thankful for your offering.{***};;;;
qstr_The_faith_of_the_sev|The faith of the seven are thankful.{***};;;;
qstr_Your_troops_are_not_|Your troops are not happy with your decision.{***};;;;
qstr_Your_men_have_nothin|Your men have nothing to eat!{***};;;;
qstr_Part_of_your_food_wa|Part of your food was destroyed.{***};;;;
qstr_You_don_t_have_enough_st|You don't have enough stags. How embarrassing!{***};;;;
qstr_Your_men_think_that_|Your men think that you are a strong leader.{***};;;;
qstr_Your_men_think_that_y|Your men think that you are a weak leader.{***};;;;
qstr_You_don_t_have_enough_silve|You don't have enough silver. How embarrassing!{***};;;;
qstr_While_your_messenger|While your messengers try to negotiate with the enemy raiders, a squad of your men appears by chance, and a battle begins. Your men manage to destroy the looters and fix the problem, but at the cost of some lives.^^Your casualties: {s8}^^Enemy casualties: {s10}{***};;;;
qstr_The_enemy_raiders_ac|The enemy raiders accept the deal, take the money, and promise not to attack your supplies for some weeks.{***};;;;
qstr_The_raiders_take_the|The raiders take the money, kill the messengers, and continue to damage your supply routes.{***};;;;
qstr_You_don_t_have_enough_silver|You don't have enough silver. You order water to be rationed and wells to be dug.{***};;;;
qstr_the_enemy_thinks_rei|the enemy thinks reinforcements will soon arrive.{***};;;;
qstr_fear_and_discontent_|fear and discontent are spreading inside.{***};;;;
qstr_he_likes_the_wife_of|he likes the wife of his former master, and he will fight by your side if you give her to him after the conquest.{***};;;;
qstr_the_enemy_s_morale_i|the enemy's morale is low, and we should attack.{***};;;;
qstr_Compensation_was_paid|Compensation was paid and the farmer leaves a little happier.{***};;;;
qstr_The_compensation_is_|The compensation is paid and your warrior whipped.{***};;;;
qstr_At_the_joy_of_your_m|At the joy of your men, you force the women to join your party. Word of your reputation soon spreads.{***};;;;
qstr_Your_soldiers_don_t_|Your soldiers don't take kindly to this. Though word of your reputation as an honest leader soon spreads.{***};;;;
qstr_The_mercenary_joins_|The mercenary joins your party.{***};;;;
qstr_The_mercenary_rides_|The mercenary rides on past your siege camp.{***};;;;
qstr_Your_men_think_you_r|Your men think you're heartless and fear you.{***};;;;
qstr_You_feel_happy.|You feel happy.{***};;;;
qstr_New_troops_have_join|New troops have joined your party. Some of your troops however dis-approve.{***};;;;
qstr_The_bandits_leave.|The bandits leave.{***};;;;
qstr_Your_men_kill_all_th|Your men kill all the bandits.{***};;;;
qstr_At_night_some_of_you|At night, some of your men make off with happy widows.{***};;;;
qstr_Your_enemies_appreci|Your enemies appreciate your pity. Perhaps this will help you when you negotiate their surrender.{***};;;;
qstr_You_know_that_in_the|You know that in the coming days, dozens of children, women and elderly will die before your eyes, languishing from hunger.{***};;;;
qstr_Your_officer_seems_u|Your officer seems upset.{***};;;;
qstr_Your_men_think_that_yo|Your men think that you are a very strong leader.{***};;;;
qstr_Your_officer_seems_h|Your officer seems happy.{***};;;;
qstr_The_wife_is_pregnant|The wife is pregnant, and the officer asks for a high compensation. To avoid rumours and problems, you pay.{***};;;;
qstr_Word_soon_spreads_of|Word soon spreads of your tyranny.{***};;;;
qstr_You_like_to_keep_a_t|You like to keep a tight ship and soon enough people will come to hear of this.{***};;;;
qstr_Word_soon_spreads_of_|Word soon spreads of your tyrannical leadership.{***};;;;
qstr_You_have_earn_t_resp|You have earn't respect from your followers.{***};;;;
qstr_Some_of_your_food_su|Some of your food supplies were distributed.{***};;;;
qstr_Your_men_now_have_no|Your men now have nothing to eat!{***};;;;
qstr_The_boy_joins_your_b|The boy joins your bodyguard much to the dis-pleasure of your men.{***};;;;
qstr_The_lord_is_certainl|The lord is certainly dis-pleased with your rejection.{***};;;;
qstr_You_ve_gained_+1_int|You've gained +1 intelligence.{***};;;;
qstr_You_ve_gained_15_one|You've gained 15 one-handed weapon proficiency.{***};;;;
qstr_You_ve_gained_15_one_|You've gained 15 one-handed weapon proficiency and +1 intelligence.{***};;;;
qstr_Your_patrol_finds_50|Your patrol finds 500 stags and kills any survivors.{***};;;;
qstr_Your_patrol_bring_ba|Your patrol bring back 4 Lyseni archers who are glad to join your retinue.{***};;;;
qstr_Word_soon_spreads_of_y|Word soon spreads of your dis-honourable nature.{***};;;;
qstr_Word_soon_spreads_of_yo|Word soon spreads of your tyrannical nature.{***};;;;
qstr_The_poor_fellows_are|The poor fellows are soon caught by their aggressors and all slaughtered.{***};;;;
qstr_The_poor_fellows_hav|The poor fellows have joined your retinue. You feel good knowing they will not die needlessly.{***};;;;
qstr_You_run_the_raiders_|You run the raiders down and slaughter every last one of them.{***};;;;
qstr_The_pit_fighter_join|The pit fighter joins your retinue. This will not go down too well with the masters in Essos.{***};;;;
qstr_The_man_will_surely_|The man will surely be put to his death now. However the master pays you for your troubles.{***};;;;
qstr_Your_soldiers_will_s|Your soldiers will surely remember this mis-deed.{***};;;;
qstr_Word_soon_spreads_of_you|Word soon spreads of your tyrannical rule.{***};;;;
qstr_Word_soon_spreads_of_your|Word soon spreads of your good deeds.{***};;;;
qstr_Word_soon_spreads_of_your_|Word soon spreads of your good deeds. The people will surely flock to be under your rule.{***};;;;
qstr_Temporary_quarters_a|Temporary quarters are not a good place to hold prisoners. {reg1} prisoners have escaped.{***};;;;
qstr_One_lord_can_disemba|One lord can disembark here with you.{***};;;;
qstr_{reg1}_lords_can_dis|{reg1} lords can disembark here with you.{***};;;;
qstr_One_lord_will_lose_t|One lord will lose track of you. He must disembark at the next port and then come find you.{***};;;;
qstr_{reg1}_lords_will_lo|{reg1} lords will lose track of you. They must disembark at the next port and then come find you.{***};;;;
qstr_One_lord_can_embark_|One lord can embark here with you.{***};;;;
qstr_{reg1}_lords_can_emb|{reg1} lords can embark here with you.{***};;;;
qstr_One_lord_will_lose_tr|One lord will lose track of you. He must embark at the next port and then come find you.{***};;;;
qstr_{reg1}_lords_will_los|{reg1} lords will lose track of you. They must embark at the next port and then come find you.{***};;;;
qstr_{s10}Current_fleet:^|{s10}Current fleet:^{s0}^^{***};;;;
qstr_{s10}Port_of_{s9}:^{|{s10}Port of {s9}:^{s0}^^{***};;;;
qstr_{s10}Landed_ships_nex|{s10}Landed ships next to {s9}:^{s0}^^{***};;;;
qstr_You_gain_+1_Renown.|You gain +1 Renown.{***};;;;
qstr_Lord_Commander_Jon_S|Lord Commander Jon Snow{***};;;;
qstr_Jon_Snow_has_sent_fo|Jon Snow has sent for you to meet him regarding an incident at Craster's Keep.{***};;;;
qstr_You_must_make_sure_t|You must make sure the letter you have found makes its way to King Stannis Baratheon.{***};;;;
qstr_You_have_decided_to_|You have decided to take the news of the letter to Lord Tywin Lannister.{***};;;;
qstr_King_Robb_Stark|King Robb Stark{***};;;;
qstr_Ser_Walder_Frey_and_|Ser Walder Frey and his hosts have joined The Westerlands{***};;;;
qstr_Lord_Roose_Bolton_an|Lord Roose Bolton and his hosts have joined The Westerlands{***};;;;
qstr_Lord_Paramount_Roose|Lord Paramount Roose Bolton{***};;;;
qstr_Lord_Paramount_Walde|Lord Paramount Walder Frey{***};;;;
qstr_Lord_Edmure_Tully|Lord Edmure Tully{***};;;;
qstr_All_hail_His_Grace_{|All hail His Grace, {playername}, First of His Name, King of the Andals, the Rhoynar and the First Men,^ Lord of the Seven Kingdoms, and Protector of the Realm.^^You have successfully claimed the Iron Throne.{***};;;;
qstr_All_hail_Her_Grace_{|All hail Her Grace, {playername}, First of Her Name, Queen of the Andals and the First Men,^ Protector of the Seven Kingdoms.^^You have successfully claimed the Iron Throne.{***};;;;
qstr_As_you_leave_the_Dir|As you leave, the Dire Wolf follows on behind..{***};;;;
qstr_Static_wars_have_now|Static wars have now been turned off.{***};;;;
qstr_{s1}_of_the_{s2}.|{s1} of the {s2}.{***};;;;
qstr_Your_measter_approac|Your measter approaches with urgent news:^^'We have received a raven, it carries a message that reads: Your proposal has been accepted and {s10} has been released from captivity.'{***};;;;
qstr_Your_measter_approach|Your measter approaches with urgent news:^^'We have received a raven, it carries a message that reads: Your proposal was not accepted and {s10} will remain captive.'{***};;;;
qstr_Your_measter_approache|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} will meet you and will follow you as soon as possible.'{***};;;;
qstr_Your_measter_approaches|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} says you're not the one to give orders.'{***};;;;
qstr_Your_measter_approaches_|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} says that it would hardly be proper as you don't have authority for it.'{***};;;;
qstr_Your_measter_approaches_w|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} has better things to do than follow your orders.'{***};;;;
qstr_Your_measter_approaches_wi|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} is busy and cannot follow orders at this time.'{***};;;;
qstr_Your_measter_approaches_wit|Your measter approaches with urgent news:^^'I have returned with the answer to your message. {s9} will go to {s10} as soon as possible.'{***};;;;
qstr_Your_measter_approaches_with|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} will go patrol around {s10} as soon as possible.'{***};;;;
qstr_Your_measter_approaches_with_|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} will go to besiege {s10} as soon as possible.'{***};;;;
qstr_Your_measter_approaches_with_u|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} says you're not one to give orders.'{***};;;;
qstr_Your_measter_approaches_with_ur|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} says that would hardly be proper as you don't have authority for it.'{***};;;;
qstr_AYour_measter_approa|AYour measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} is to too busy to read pointless messages.'{***};;;;
qstr_Your_measter_approaches_with_urg|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} is surprised by your insult, especially when there was no enmity between you. He says that he will ignore it this time, but do not provoke him again.'{***};;;;
qstr_Your_measter_approaches_with_urge|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} was greatly angered by your insult, falling fully under the provocation of your challenge. He called his men to arms, and I think he will advance against you.'{***};;;;
qstr_Your_measter_approaches_with_urgen|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} has not fallen for your provocation. He answered to not waste more of his time.'{***};;;;
qstr_Your_measter_approaches_with_urgent|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} has not fallen for your provocation, but he has retaliated with insults difficult to repeat but all very descriptive. And he said that if you had a problem for which you had the courage to look for him, he would love to teach you some manners.'{***};;;;
qstr_Your_measter_approaches_with_urgent_|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} is too busy to read letters. You are instructed to deliver the message in person but at your own peril.'{***};;;;
qstr_Your_measter_approaches_with_urgent_n|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} was busy and did not receive me. However, his men took the gift and divided it among themselves, threatening to kill me if I insisted on delivering your message.'{***};;;;
qstr_Your_measter_approaches_with_urgent_ne|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} thanks you for your gift, and says he will make the next feast in your honor.'{***};;;;
qstr_Your_measter_approaches_with_urgent_new|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} took your gift and gave it to his men, saying it is the tribute of a coward. His response was that he would be your enemy forever. Nothing can change that after everything that has happened between the two of you.'{***};;;;
qstr_Your_measter_approaches_with_urgent_news|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} is encouraged to know you have an interest in resolving the differences and bad relations between you. Although still there are many things to resolve, this is a good start, and he accepts your gift.'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} did not accept the gift, but his men took me where I was going. Sorry, I lost the treasure.'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:^|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} is to too busy to read pointless messages.'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:^^|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} accepts your alliance proposal. From now on, {s2} is your ally.'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:^^_|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} accepts your truce proposal. From now on, {s2} and you are at peace.'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:^^_A|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} is too busy to read pointless messages.'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:^^_A_|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} did not appear surprised by your declaration of war because you are scum whom nobody can trust.^^From now on, you are at war with {s2}'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:^^_A_r|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} was very offended by your desire to provoke a war and promises to send the ravens to publicize your villainy.^^From now on, you are at war with {s2}'{***};;;;
qstr_Your_measter_approaches_with_urgent_news:^^_A_ra|Your measter approaches with urgent news:^^'A raven has returned, it carries a message that reads: {s9} was very offended by your war declaration. He called you a treacherous rat and said you would pay dearly.^^From now on, you are at war with {s2}'{***};;;;
qstr_You_missed_the_deadl|Vous avez dépassé les délais de votre emprun à la Banque de Fer de Braavos. Les intérêts montent à 50%.
qstr_Your_debt_to_the_Iro|Your debt to the Iron Bank has now reached 1000000k stags. You have been reminded to remember the Iron Bank will have its due.{***};;;;
qstr_{s33}_was_beaten_up_|{s33} was beaten up and thrown into a dungeon by an angry crowd in {s34}.{***};;;;
qstr_{s33}_s_attempts_to_|{s33}'s attempts to influence people of {s34} have failed.{***};;;;
qstr_The_people_of_{s34}_|The people of {s34} hate you so much that the guards would not allow {s33} to enter.{***};;;;
qstr_Breaking_camp...|Le groupe lève le camp.
qstr_AMBUSH_CANCELLED_DON|AMBUSH CANCELLED, DON'T MOVE WHILE AMBUSHING.{***};;;;
qstr_Your_troops_enjoy_th|Your troops enjoy the entertainment you and your companions provide.{***};;;;
qstr_Your_troops_would_be|Your troops would be happier if they had some entertainment.{***};;;;
qstr_1|1{***};;;;
qstr_You_gain_{reg0}_silv|You gain {reg0} cerfs d'argent from begging. You lose {s2} reputation and {s3} renown{***};;;;
qstr_You_have_very_bad_fe|You have very bad feelings about this ambush...{***};;;;
qstr_You_have_bad_feeling|You have bad feelings about this ambush.{***};;;;
qstr_You_have_good_feelin|You have good feelings about this ambush.{***};;;;
qstr_You_have_very_good_f|You have very good feelings about this ambush.{***};;;;
qstr_You_keep_working_har|You keep working hard for this village...{***};;;;
qstr_Your_strenuous_villa|Your strenuous village work ends.{***};;;;
qstr_Looting_and_burying_|Looting and burying the dead.{***};;;;
qstr_Burying_the_dead.|Burying the dead.{***};;;;
qstr_Looting_the_dead.|Looting the dead.{***};;;;
qstr__Your_contract_with_| Your contract with {s1} has expired.{***};;;;
qstr_Your_spy_in_{s5}_has|Your spy in {s5} has successfully poisoned the well.{***};;;;
qstr_Rats_have_infested_t|Rats have infested the food stocks in {s5}.{***};;;;
qstr_A_pox_has_inflicted_|A pox has inflicted the cattle herds of {s5}.{***};;;;
qstr_Civil_unrest_in_{s5}|Civil unrest in {s5} is having an adverse effect on the town economy.{***};;;;
qstr_Farmers_in_{s5}_are_|Farmers in {s5} are rioting.{***};;;;
qstr_You_receive_a_messag|You receive a message from {s1} demanding lands to support them in a style that befits them.{***};;;;
qstr_You_receive_a_message|You receive a message from {s1} reminding you of your obligations to provide for your vassals.{***};;;;
qstr_A_livestock_epidemic|Une épidémie a décimé {reg4} têtes de bétail à {s4}.
qstr_{reg0}_of_your_prison|{reg0} of your prisoners escaped from the gold mine!{***};;;;
qstr_{reg0}_of_your_prisone|{reg0} of your prisoners escaped from the iron mine!{***};;;;
qstr_Your_party_has_been_|Your party has been spotted by {s1}.{***};;;;
qstr_{reg1}_{s1}_{reg2?ha|{reg1} {s1} {reg2?ont:a} profité de la nuit pour s'enfuir.
qstr_{s1}_of_{s3}_has_bee|{s1} of {s3} has been released from captivity.{***};;;;
qstr_Building_of_{s0}_in_|La construction de {s0} à {s4} est terminée.
qstr_{s1}_is_no_longer_in|{s1} n'a plus rien à craindre des bandits.
qstr_{s1}_has_won_the_tou|{s1} a remporté le tournoi à {s2}.
qstr_You_are_within_the_w|Vous êtes dans les murs d'un membre allié de la famille et vous n'avez rien à payer pour l'hébergement.
qstr_You_pay_for_accommod|Vous payez des frais d'hébergement.
qstr_Betrothal_to_{s5}_ex|Les fiançailles de {s5} expirent.
qstr_Your_tactics_skill_h|Your tactics skill has increased by 1.{***};;;;
qstr_Your_persuasion_skil|Your persuasion skill has increased by 1.{***};;;;
qstr_Your_leadership_skil|Your leadership skill has increased by 1.{***};;;;
qstr_Your_intelligence_ha|Your intelligence has increased by 1.{***};;;;
qstr_Your_trade_skill_has|Your trade skill has increased by 1.{***};;;;
qstr_Your_weapon_master_s|Your weapon master skill has increased by 1.{***};;;;
qstr_Your_engineer_skill_|Your engineer skill has increased by 1.{***};;;;
qstr_You_have_finished_re|Vous avez terminé {s1}. {s2}
qstr_Book_Read|Livre terminé.
qstr_{s1}_is_scouted.|Vous avez exploré {s1}.
qstr_{s1}_has_switched_fr|{s1} est passé du {s2} au {s3}.
qstr_Allowing_the_wives_o|Allowing the wives of your soldiers to travel in your party has impacted the morale of your men.{***};;;;
qstr_By_now_you_have_more|By now, you have more than one ship. In a sea battle you can give a 'stand ground' or 'charge' command to your ships by giving it to class number nine, like you give commands to a troop class in a field battle. The first troops in your army list will be together with you on the flagship. The other troops will be in the following ships. You can change your flagship in a port and while camping on the sea. If you are next to a coast you can also split your fleet while camping on the sea or search for the closest landing point with a right click on your party.{***};;;;
qstr_Ship_management|Ship management{***};;;;
qstr_Your_troops_dislike_|Your troops dislike spending the night on sea, though are comforted by the fact their leader is an Ironman.{***};;;;
qstr_Your_troops_are_angr|Your troops are angry, because they hate to spend the night on sea.{***};;;;
qstr_Your_troops_feel_une|Your troops feel uneasy about crossing the sea but are comforted by the fact their leader is an Ironman.{***};;;;
qstr_Your_troops_feel_unea|Your troops feel uneasy about crossing the sea.{***};;;;
qstr_Severe_weather_has_d|Severe weather has damaged the {s1} ({s7}).{***};;;;
qstr_Severe_weather_has_de|Severe weather has destroyed the {s1} ({s7}).{***};;;;
qstr_The_weather_changed_|The weather changed to: 'Calm'{***};;;;
qstr_The_weather_changed_t|The weather changed to: 'Light breeze'{***};;;;
qstr_The_weather_changed_to|The weather changed to: 'Moderate breeze'{***};;;;
qstr_The_weather_changed_to:|The weather changed to: 'Strong breeze'{***};;;;
qstr_The_weather_changed_to:_|The weather changed to: 'High wind'{***};;;;
qstr_The_weather_changed_to:__|The weather changed to: 'Gale'{***};;;;
qstr_The_weather_changed_to:__S|The weather changed to: 'Storm'{***};;;;
qstr_You_are_not_strong_e|You are not strong enough to lift a weapon fit for your promotion.{***};;;;
qstr_You_are_not_strong_en|You are not strong enough to hold the extra weight required with promotion.{***};;;;
qstr_Your_arms_are_too_we|Your arms are too weak to advance in the artillery at this moment.{***};;;;
qstr_You_require_more_hor|You require more horse riding skill to fill your next position.{***};;;;
qstr_Your_recruiter_who_wa|Votre recruteur chargé de ramener {reg10} recrues à {s13} a été éliminé !
qstr_{s13}_has_been_taken|{s13} passe à l'ennemi et votre recruteur chargé d'enrôler {reg10} recrues a disparu sans laisser de trace !
qstr_ERROR_IN_THE_RECRUIT|ERREUR DANS LE DÉCLANCHEMENT DU RECRUTEMENT !
qstr_A_recruiter_has_brou|Un recruteur a ramené {reg10} recrues à {s13}.
qstr_Distance_between_{s1|Distance entre {s14} et {s15} : {reg0}
qstr_Your_caravan_has_bro|Votre caravane a amené {s12} à {s13}.
qstr_{s13}_is_unimpressed|{s13} n'est pas impressionné par votre dérisoire cadeau.
qstr_The_people_of_{s13}_|La population de {s13} n'est pas impressionnée par votre dérisoire cadeau.
qstr_Your_caravan_has_los|Votre caravane a perdu son chemin et a renoncé à sa mission !
qstr_Transfer_to_{s6}|Transfert à {s6}
qstr_{s6}_patrol|{s6} en patrouille
qstr_Your_messenger_reach|Votre messager a atteint {s13}.
qstr_{s14}|{s14}
qstr_Your_messenger_has_l|Votre messager a perdu son chemin et a renoncé à sa mission !
qstr_Your_soldiers_patrolli|Votre patrouille sur {s6} est dissoute parce que vous ne pouvez pas payer les salaires !
qstr_It_is_rumoured_that_|Vous apprenez qu'un espion a été capturé à {s11}.
